#{"t_start": 1781727376.9474878, "env_id": "EPuckLidarParkingEnv-v0"}
r,l,t
67.588002,104,1337.525236
76.270546,101,1340.453471
83.019122,111,1343.429644
-139.603349,115,1346.652293
69.534082,119,1350.025202
-127.544879,107,1352.87862
86.837966,90,1355.923868
80.323269,95,1358.662014
-131.721645,109,1361.681032
55.65392,123,1364.942595
64.140178,116,1368.039532
84.708293,92,1370.469014
-136.069183,114,1373.484918
74.320467,94,1376.006307
74.0041,117,1379.059603
86.689183,92,1382.140202
83.483664,114,1385.372674
-133.741747,114,1388.455502
79.141387,96,1391.144841
79.644628,100,1393.980796
81.372809,108,1397.17064
77.911265,112,1400.19339
83.532469,98,1402.794423
56.349178,119,1406.230617
80.113413,87,1408.533273
71.261969,95,1411.688407
82.37431,93,1414.152451
-140.933481,98,1416.844405
42.451731,114,1419.846045
76.847117,94,1422.317267
50.720958,116,1425.331363
-145.879662,120,1428.44901
86.696671,96,1430.99967
-142.567622,106,1434.007467
44.535968,123,1437.224525
98.043915,91,1442.587517
86.636264,113,1445.635956
92.630181,107,1448.462308
76.610801,104,1451.413406
93.565732,88,1453.944687
76.590935,126,1457.379786
72.801721,102,1460.091126
82.605953,116,1463.193312
68.016562,92,1465.836649
77.242544,108,1468.697462
-127.676488,106,1471.504556
70.831595,115,1474.65616
-139.125895,109,1477.53419
88.767127,94,1480.554803
76.262945,96,1483.086814
78.963566,113,1486.303809
-151.642626,126,1489.880753
-153.105917,97,1492.607706
74.212191,88,1495.066514
-141.408014,126,1498.477679
75.92979,118,1501.629234
62.007513,93,1504.174418
69.777096,98,1506.755877
67.235954,107,1510.208042
66.126193,98,1512.8374
84.072494,90,1515.230457
80.334773,112,1518.278764
-129.116311,114,1521.321272
70.556897,103,1523.991488
59.409149,115,1527.058949
75.782031,90,1529.441695
54.995359,115,1532.481608
67.180209,107,1535.395109
75.889181,120,1539.286478
59.380957,105,1542.069336
70.262959,99,1544.664482
87.681001,92,1547.104023
-145.072591,123,1550.544408
75.810902,91,1552.946121
75.706881,106,1555.797526
68.842204,127,1559.404088
66.409875,124,1562.663918
71.662162,95,1565.725578
83.801969,91,1568.166777
-129.971271,109,1571.050528
77.568463,93,1573.521496
83.001919,112,1576.587463
76.636058,107,1579.471329
-130.989955,113,1582.422621
62.00993,110,1585.378469
74.603062,97,1588.116559
69.212378,111,1591.160778
97.694048,105,1593.937744
99.065739,93,1596.383757
97.921623,114,1599.515177
-108.490636,94,1602.156802
91.715887,104,1604.880747
-115.750034,108,1608.507947
57.4095,98,1611.177642
73.653105,97,1613.997542
68.124694,119,1617.113954
80.45466,93,1619.596859
-126.139874,98,1622.328439
-130.301367,118,1625.453766
69.444985,116,1628.524573
75.11981,102,1631.375009
81.660556,94,1633.843464
82.938205,95,1636.943272
77.219574,111,1639.846215
-122.342065,89,1642.273127
-122.19532,111,1645.224369
-137.254006,116,1648.266727
69.555731,105,1651.0343
82.735453,107,1653.994496
-126.761907,107,1656.822379
77.919912,94,1659.43362
65.343157,125,1662.906013
73.473148,89,1665.81705
77.522863,118,1668.810292
58.36701,115,1671.981697
47.696751,122,1675.284791
-125.554091,108,1678.077321
-135.889044,116,1681.118032
-134.754096,98,1683.529384
-128.121981,107,1686.219452
81.224594,99,1688.652699
65.729546,115,1692.115443
-118.701814,100,1694.750806
-126.68235,90,1697.128737
-136.979526,107,1699.977213
84.806611,105,1702.748405
-136.463246,86,1705.041626
77.070647,96,1707.578265
69.255409,109,1710.395499
83.927942,106,1713.099734
87.002332,96,1715.707603
67.932975,105,1718.897034
-130.362296,99,1721.524553
83.96875,107,1724.295712
88.208853,90,1726.715502
74.434041,87,1729.203188
61.393373,114,1732.222507
89.18304,96,1734.788754
-127.059214,101,1737.425943
75.31444,109,1740.283327
78.639981,106,1743.220532
92.292746,111,1746.029764
79.791965,114,1748.954557
95.807963,96,1751.459447
93.696505,108,1754.228782
-112.724371,100,1756.865333
76.079921,108,1759.996992
82.15584,92,1762.455246
83.847213,106,1765.433278
69.342599,100,1767.965721
-128.54625,91,1770.362768
-125.963469,109,1773.241486
82.646406,101,1775.89918
83.772837,116,1779.239441
-141.716603,106,1782.265908
-121.660032,118,1785.599684
-134.423991,111,1789.241478
77.019023,96,1791.876801
82.324775,97,1794.785372
77.688294,88,1797.428784
78.134589,107,1800.513443
84.387796,90,1803.207378
73.571302,99,1805.890945
85.132317,89,1808.356611
85.347992,83,1810.735646
-132.802515,117,1813.871732
46.991521,123,1817.655783
76.089153,100,1820.342688
88.477782,90,1822.759892
82.774976,104,1825.627491
-121.341077,106,1828.457536
89.550699,91,1831.003112
72.923753,110,1834.062008
80.098188,100,1836.711293
