#{"t_start": 1781740124.1269634, "env_id": "EPuckLidarParkingEnvSAC-v0"}
r,l,t
91.029172,95,2704.727946
97.643781,101,2710.0131
93.728858,103,2715.069041
95.665879,87,2719.382674
94.792995,103,2724.550805
87.624236,109,2730.068832
89.916724,121,2736.030581
82.176701,123,2742.100654
93.547057,115,2747.80558
90.280078,116,2753.562546
86.350359,106,2759.267522
80.719286,109,2764.75361
84.5677,104,2770.226228
83.9308,106,2775.480043
99.092104,101,2780.612486
87.561733,111,2786.214706
95.613079,90,2790.761322
83.632999,124,2797.088131
89.63194,90,2801.602626
91.341374,109,2806.908033
95.819623,106,2812.202587
94.1976,102,2817.542735
90.568005,120,2823.632183
89.982953,103,2828.979847
83.21177,117,2834.706393
86.093952,117,2840.461669
99.085627,88,2844.717981
95.560154,103,2849.918155
96.388176,116,2855.670938
94.213581,88,2860.241765
94.183047,98,2865.150231
88.432846,112,2870.908335
97.594518,93,2875.637177
86.583193,119,2881.636601
88.14754,119,2887.594463
92.339521,91,2892.080949
92.135016,109,2897.403596
92.488333,102,2902.50527
88.507697,120,2908.456223
94.246117,115,2914.018342
96.705369,107,2919.396613
96.838281,100,2924.39633
90.125802,101,2929.403283
96.042948,113,2935.137002
91.461772,96,2939.899057
88.291749,123,2945.979941
94.572441,88,2950.272013
85.176744,102,2955.24142
97.622329,104,2960.345577
96.463082,93,2964.882919
94.489877,106,2970.136128
86.248104,121,2976.349871
97.130516,103,2981.523062
86.907144,123,2987.65742
89.902178,94,2992.341625
90.91485,107,2997.874598
90.918237,96,3002.495637
96.517045,102,3007.564711
95.286067,115,3013.180427
88.860696,122,3019.301121
91.18552,94,3023.932133
94.875502,89,3028.30873
94.759402,88,3032.89199
95.425779,95,3037.764438
93.918623,113,3043.289953
89.969945,128,3049.655275
95.630319,92,3054.339764
94.93864,113,3059.907472
96.248205,105,3065.071997
87.547378,112,3070.67938
84.821922,114,3076.227857
94.319284,115,3082.278789
86.240189,103,3087.348382
95.286136,91,3091.867676
85.003652,100,3096.797827
93.541042,101,3101.797231
91.460802,105,3107.098814
87.179846,118,3113.013843
92.173487,98,3117.828546
94.408632,91,3122.320423
86.409755,101,3127.260489
93.656012,106,3132.492357
85.6508,116,3138.184684
96.472275,108,3143.878523
94.271232,97,3148.73989
100.047053,94,3153.368107
91.050288,92,3157.927773
90.896704,94,3163.09599
83.51226,121,3169.46295
93.903901,109,3174.953885
95.785396,113,3180.360247
91.103561,112,3185.817253
95.365176,100,3191.477748
87.035879,103,3194.102287
96.908672,105,3196.853375
92.390088,104,3199.562922
94.338168,116,3202.634124
88.885024,111,3208.035526
84.699684,124,3214.121956
94.988022,114,3219.983671
96.719459,107,3225.202631
83.212874,127,3231.398307
97.060261,111,3236.902161
91.7436,106,3242.207827
88.813345,111,3247.709457
97.71719,91,3252.199576
93.793316,94,3256.765041
85.758817,104,3262.030004
90.0593,103,3267.051453
83.283229,98,3271.989058
94.515834,103,3277.080256
85.730738,115,3282.794866
95.171964,93,3287.343636
83.230591,116,3292.943998
96.285772,87,3297.256921
80.374538,106,3302.486915
85.423497,123,3308.755585
93.54314,114,3314.399098
86.137837,117,3320.219673
84.117868,111,3325.615757
85.784123,103,3330.717723
79.862024,98,3335.558863
82.057658,116,3341.068376
94.0819,103,3346.181236
93.021274,99,3350.94828
85.911008,93,3355.563003
97.482363,113,3361.145552
84.934194,108,3366.617567
87.000938,105,3371.825462
82.158991,113,3377.278917
95.555653,102,3382.339672
93.21827,108,3387.680232
81.679812,101,3392.634816
95.514306,108,3397.893004
93.178221,90,3402.220284
94.920382,108,3407.529597
99.663137,109,3413.249472
90.313341,111,3418.801532
87.177712,115,3424.472117
92.067514,103,3429.506164
83.874845,120,3435.437681
91.194812,109,3440.789407
93.269206,111,3446.505664
92.079254,123,3452.495041
79.152546,115,3458.234791
85.30673,105,3463.491059
86.091858,114,3469.063783
88.741878,108,3474.632568
94.836637,102,3479.66093
88.65786,99,3484.526368
88.825714,118,3490.35346
95.466526,103,3495.356817
88.256083,97,3500.17056
97.795532,111,3505.515859
95.605657,93,3510.105179
94.769852,99,3514.96854
97.150496,88,3519.578197
86.614716,110,3524.940395
94.310896,99,3529.916603
83.386359,94,3534.504702
87.717066,116,3540.237898
93.102821,104,3545.376884
94.066838,108,3550.684962
86.624038,123,3556.730787
94.144857,106,3561.967584
94.398949,86,3566.222156
92.705704,116,3571.888739
96.250295,100,3576.975331
87.222426,96,3581.85901
85.593947,116,3587.562608
97.222491,112,3593.066306
94.595635,113,3598.623425
95.481216,101,3603.532951
94.30753,104,3608.709421
96.46535,101,3613.523247
84.814764,116,3619.433428
94.96781,105,3624.89605
101.79416,109,3630.333771
90.885307,117,3636.033363
99.120025,116,3641.675728
87.222927,121,3647.686581
87.791428,110,3653.312103
90.039078,112,3658.872853
96.171728,105,3664.026671
87.159277,107,3669.412095
97.896363,102,3674.4017
92.546014,114,3680.1935
102.165131,108,3685.724927
100.437861,111,3691.260793
95.491229,87,3695.454417
93.245618,119,3701.363746
97.565516,90,3705.795715
91.459578,113,3711.313153
99.602309,88,3715.626746
87.180051,123,3721.836626
85.056902,121,3727.752366
97.0383,93,3732.305018
96.043563,91,3736.765098
83.708288,116,3742.687639
77.904453,104,3747.778002
85.867414,110,3753.065244
85.166223,114,3758.728842
94.087765,94,3763.333476
98.624426,100,3768.206132
96.72264,107,3773.525561
98.347971,93,3777.932133
83.519535,108,3783.26144
86.675089,106,3788.831034
100.877059,87,3793.192452
98.243984,108,3798.581082
98.090273,109,3803.923702
98.164725,93,3808.496256
96.533774,102,3813.54915
96.341149,106,3818.65875
96.21156,114,3824.245281
96.826742,93,3828.891663
83.638004,122,3835.208226
94.645998,107,3840.447238
95.334791,102,3845.433082
94.330536,115,3851.110004
95.78401,112,3856.680365
91.64461,114,3862.329811
88.570541,98,3867.144749
84.3904,122,3873.034231
88.925676,118,3878.870328
92.895565,93,3883.568019
95.720417,101,3888.409964
97.505515,106,3893.801391
96.672316,100,3898.737498
90.860769,103,3903.862943
99.943087,88,3908.201864
99.380668,100,3913.134155
94.389377,87,3917.454066
97.53887,85,3922.112542
97.232793,107,3928.927738
91.142839,107,3935.155372
94.451806,104,3940.934337
95.730664,93,3946.134609
90.562872,115,3952.025236
98.174592,88,3956.490117
97.821562,96,3961.27404
101.278388,112,3967.226109
97.8136,104,3973.78989
98.92138,103,3979.723621
99.657012,97,3985.157495
101.848362,111,3991.586197
93.121078,107,3998.382128
89.155674,120,4006.005548
89.894273,119,4014.194247
90.549298,105,4020.411442
91.571661,119,4027.102524
91.35181,96,4032.34839
85.745753,124,4039.064424
77.686199,109,4044.97127
97.414204,89,4049.990573
81.975195,102,4055.701973
102.540143,88,4060.687849
