#{"t_start": 1781747159.5238495, "env_id": "EPuckLidarParkingEnvSAC-v0"}
r,l,t
85.334188,95,2960.974185
65.42637,109,2967.009627
84.284774,112,2972.390597
53.691796,121,2978.679475
83.312853,91,2983.459277
77.594534,113,2989.347541
56.978227,129,2996.499363
82.435898,90,3001.059498
-127.581803,115,3007.554797
91.761503,120,3013.637076
74.16177,118,3020.23909
-132.353363,123,3027.778539
-126.242216,120,3033.362227
-151.676767,118,3039.706492
54.789781,115,3045.053052
-149.801338,131,3051.830381
86.781017,94,3056.05552
83.632926,110,3061.10835
57.94722,115,3067.317282
-137.394058,103,3072.99351
85.1099,90,3077.309887
-121.332503,114,3082.320011
83.243512,110,3087.516595
81.693857,90,3091.484135
71.323223,113,3096.69066
93.282222,115,3101.892028
33.144795,112,3106.963651
75.920633,103,3111.478319
33.308166,135,3119.006658
-156.804736,107,3122.345086
57.541372,110,3125.735549
-130.205224,118,3129.385595
54.556014,115,3132.929613
-121.317959,111,3136.327959
78.073263,100,3139.425385
-134.22256,127,3143.330499
76.110872,102,3146.513059
74.741792,113,3150.038623
79.099599,104,3153.252034
-125.318592,118,3156.894491
70.608059,98,3159.910398
48.855968,110,3163.305779
40.601592,136,3167.518793
80.278673,92,3170.377708
81.097317,94,3173.3008
78.125771,113,3176.862157
81.288523,113,3180.33011
48.184175,105,3183.594205
85.72508,96,3186.659384
103.442367,95,3189.628398
53.644683,119,3193.351632
64.732986,127,3197.431121
79.693763,101,3200.590246
51.179986,107,3203.876027
72.722783,116,3207.497965
78.295211,107,3210.810458
74.211352,129,3214.787236
54.747223,123,3218.621765
74.427834,114,3222.108408
-132.679612,108,3225.632861
39.928301,121,3229.376346
61.631189,114,3232.978644
69.999118,105,3236.270204
35.955436,132,3240.342316
90.217023,89,3243.105438
79.517589,109,3246.421842
81.960301,95,3249.354067
68.182396,100,3252.425684
77.74455,95,3255.384708
62.84376,117,3259.010065
79.349625,121,3262.864803
38.677279,123,3266.638099
74.789524,120,3270.330446
41.864771,130,3274.287761
64.967016,117,3277.891621
61.569689,99,3280.941046
76.384544,119,3284.580575
54.410092,98,3287.607474
33.148218,126,3291.514266
58.148729,106,3294.770521
83.333905,113,3298.247865
68.373438,108,3301.544458
-131.07101,103,3304.72682
72.961602,106,3307.935021
54.832155,116,3311.639334
34.701955,131,3315.651123
52.288419,127,3319.549603
37.511314,114,3323.131302
79.242298,99,3326.18838
-152.325331,125,3329.984557
47.752086,130,3333.965126
44.906577,125,3337.765158
80.134382,111,3341.156073
84.171205,96,3344.160511
60.130335,118,3347.756939
96.741627,112,3351.143037
69.705418,110,3354.514605
87.16353,91,3357.301803
85.137589,95,3361.164738
88.364494,95,3364.489609
51.104447,117,3368.720784
58.251371,114,3372.409163
82.811414,90,3375.284647
47.610107,123,3379.213551
98.095452,111,3382.716807
68.147927,107,3386.137916
64.530401,110,3389.623757
65.720956,99,3392.705206
47.416679,121,3396.543148
85.617948,99,3399.680836
46.357062,125,3403.581378
78.699306,112,3407.146841
41.198853,119,3410.949229
77.557913,114,3414.586692
59.878273,109,3418.045641
36.699645,126,3422.050037
85.43998,96,3425.054166
68.153016,98,3428.119133
68.017898,121,3431.997978
89.531053,92,3434.856795
75.12798,109,3438.275806
68.897473,99,3441.418551
52.955612,112,3444.928952
88.430033,98,3448.068306
70.184323,102,3451.323777
86.903185,96,3454.366616
-138.684186,105,3457.673052
81.010816,110,3461.160775
72.540957,101,3464.422646
66.010225,111,3467.92047
63.57844,103,3471.204068
90.75714,90,3474.050754
73.875901,112,3477.584381
74.699159,96,3480.672913
84.157332,109,3484.1368
72.080564,111,3487.794233
58.633598,107,3491.210335
-126.987992,105,3494.604902
64.769294,112,3498.217177
87.420708,86,3501.097343
-148.98018,126,3505.06802
74.301503,109,3508.565141
-138.318797,119,3512.633667
-154.850393,118,3516.559046
-141.864752,99,3519.716954
-135.548627,102,3522.936504
78.075987,100,3526.078042
-144.4372,109,3529.560137
90.418801,102,3532.821849
84.754255,90,3535.729574
-142.025751,123,3540.057726
-138.854881,109,3543.784288
95.738612,98,3546.984937
-183.806135,117,3550.971228
-123.730419,105,3555.185105
89.569416,114,3558.794507
96.397552,95,3561.83362
76.725665,97,3564.787792
75.642446,105,3568.716667
68.27661,128,3572.764647
69.632161,105,3576.043203
88.524206,114,3579.777681
93.818752,108,3583.192956
92.15273,91,3586.008051
64.939525,124,3590.779332
79.020599,111,3592.873682
-128.166055,107,3594.898896
-141.66289,128,3597.377939
101.567914,87,3599.057588
90.571143,105,3602.271762
-120.732662,97,3605.442636
85.492318,105,3608.937332
75.608708,88,3611.695733
86.421678,102,3615.471834
91.532256,107,3618.800711
-148.340831,126,3622.887445
86.833418,103,3626.123523
93.744976,95,3629.887141
101.928269,115,3633.484661
95.960255,96,3636.541839
82.457192,98,3639.632538
-124.868953,106,3642.97478
92.543733,104,3646.239736
93.075077,106,3649.555947
-135.281725,116,3653.139495
70.490912,122,3657.377382
-132.380101,116,3661.152339
78.882261,99,3664.178756
91.125124,107,3667.489803
94.096251,98,3670.51146
79.373955,123,3674.35922
88.808004,111,3677.786914
-136.301693,95,3680.744964
-126.584188,126,3684.664812
86.716369,95,3688.433045
94.656833,103,3691.628576
102.272668,105,3694.896531
91.043965,120,3698.603411
69.575001,121,3702.339563
80.901183,88,3705.085964
72.053778,120,3708.785138
70.449017,111,3712.19755
78.490439,108,3715.552812
96.800256,110,3719.604571
90.282262,111,3723.101108
-186.445046,89,3725.865324
96.414316,95,3728.816657
93.417808,106,3732.082173
91.331128,104,3735.318231
96.220033,89,3738.032148
64.683963,117,3741.67046
77.049793,109,3745.043176
91.005314,107,3748.381279
87.169924,103,3751.642071
92.73759,88,3754.39527
-135.48106,116,3757.982993
76.275183,121,3761.784193
66.683976,112,3766.048532
66.356071,113,3769.648004
71.480836,120,3773.355909
82.515469,126,3777.467249
86.56908,105,3780.725121
95.685115,93,3783.852792
85.356418,127,3787.854753
79.291597,110,3791.32293
76.924061,91,3794.977518
78.124173,109,3798.665149
85.048309,98,3801.780102
-118.641071,90,3804.537882
87.148001,102,3807.722135
83.054617,109,3811.078353
79.202336,117,3814.681941
90.065484,94,3818.117199
90.675558,98,3821.550907
71.477284,117,3826.550207
79.323354,121,3830.969859
86.072952,101,3834.736597
82.587059,110,3839.579486
85.618577,111,3845.109896
93.324885,100,3849.744012
83.466007,95,3853.807524
95.945783,87,3856.869747
80.548409,114,3860.646362
88.859153,98,3864.16732
84.728993,108,3868.709386
98.23215,99,3872.325261
86.861674,114,3876.874521
80.543201,102,3880.515497
88.103625,108,3884.69539
79.22929,110,3888.642293
93.978206,96,3892.276202
39.328876,118,3896.556771
90.885739,95,3900.146091
89.808806,109,3904.664395
94.711141,94,3908.896522
89.211798,114,3914.094246
87.30199,106,3919.40073
95.792676,88,3923.138885
65.015804,125,3928.51258
87.602627,113,3933.136856
90.363586,105,3937.455574
91.043588,106,3941.788638
93.248873,112,3946.661073
95.461899,96,3952.869973
90.098447,100,3957.957083
94.230397,88,3962.045826
88.166716,109,3966.814482
93.271604,90,3970.602136
92.508557,102,3975.028862
95.147268,93,3978.993331
88.156283,110,3983.897569
88.239767,114,3988.761873
89.540313,105,3993.113784
64.309348,99,3997.295481
88.614751,118,4002.289863
73.251639,122,4007.400922
90.483043,98,4011.593722
81.035462,105,4016.038343
100.806769,107,4020.554066
100.534662,87,4024.211303
90.830306,94,4028.300918
77.900084,112,4033.043282
90.744679,99,4037.265217
86.738708,117,4042.200421
91.507361,103,4046.530027
97.821604,85,4050.085994
63.136174,115,4055.004148
64.371191,113,4059.846714
85.609282,106,4064.288661
84.100194,105,4068.736768
80.527915,114,4073.548863
90.101577,105,4078.051403
99.514751,107,4082.534612
90.931199,122,4087.731067
69.234836,104,4092.157813
86.889838,101,4096.511754
89.131392,105,4101.106949
91.8396,99,4105.281233
101.030481,85,4108.857028
90.718288,96,4112.857533
68.936269,106,4117.472728
77.605668,120,4122.642117
59.735213,118,4127.684028
88.940018,99,4131.939359
66.766498,116,4136.786071
